10000
3391
28.10.23.13 09.12.04.38
25.04.20.25 14.06.22.48
23.01.03.19 20.10.01.25
07.10.10.58 06.12.02.44
26.11.12.30 10.12.00.29
10.05.23.12 25.11.12.22
10.01.02.08 08.10.05.56
28.05.22.21 11.09.09.08
01.02.11.26 25.05.07.50
22.10.17.09 14.11.03.47
13.01.04.13 14.02.02.54
28.10.01.24 23.12.17.26
10.12.23.41 29.12.00.05
02.08.03.26 16.09.01.48
08.05.14.58 23.12.18.06
27.01.01.58 07.12.07.04
10.05.01.22 17.09.02.11
11.08.15.15 17.10.17.47
17.07.08.38 25.10.01.41
21.01.16.24 22.05.17.54
20.10.18.13 02.12.03.37
10.02.16.23 22.06.13.09
08.06.15.56 12.12.23.01
26.03.19.40 04.12.01.39
30.09.17.01 08.11.08.49
24.08.15.49 13.10.08.30
26.07.20.18 28.10.13.51
01.03.05.32 08.04.23.38
28.10.07.03 20.11.12.14
25.12.12.48 27.12.00.39
08.05.04.49 23.05.03.45
24.01.23.15 09.12.04.12
11.08.13.40 18.12.06.43
06.09.01.31 20.11.09.27
22.04.12.51 03.11.01.09
19.06.05.15 25.11.21.07
28.07.04.29 08.11.13.21
28.06.15.07 24.07.19.19
17.02.01.39 13.08.18.28
04.03.01.53 27.07.21.28
27.08.03.57 05.11.06.56
16.09.11.28 02.10.11.00
29.01.03.05 02.03.16.30
13.02.19.14 29.11.03.52
28.03.22.42 17.09.01.35
25.01.16.55 14.11.15.55
09.11.01.49 11.11.01.14
13.09.02.51 23.11.07.21
05.04.12.40 07.05.20.47
19.01.23.05 18.10.23.53
01.12.17.07 20.12.19.39
22.03.11.19 24.12.21.37
24.07.06.07 27.09.14.02
05.06.11.56 14.11.17.38
19.03.01.44 11.11.21.51
10.10.07.03 28.11.05.31
06.04.04.35 05.11.06.05
03.08.18.39 08.08.01.18
17.07.10.49 30.10.18.27
24.04.21.11 03.11.03.38
02.10.12.46 14.11.10.37
08.02.16.56 08.10.05.02
11.10.23.43 12.10.11.01
09.05.00.34 12.12.10.09
24.04.22.15 24.12.07.03
02.02.21.51 24.10.17.49
25.09.18.24 27.10.03.46
16.11.21.06 04.12.19.22
02.08.12.14 13.11.23.36
16.06.15.43 16.11.07.14
13.04.01.00 07.05.07.25
19.12.02.09 23.12.00.39
29.05.05.12 11.06.01.16
20.08.00.00 19.12.17.09
02.06.14.49 29.06.00.35
08.12.00.30 17.12.20.00
26.04.11.31 16.08.09.03
20.03.13.58 23.09.01.20
08.05.04.39 24.10.18.57
02.03.09.07 26.10.15.24
02.02.04.18 23.03.04.10
16.04.21.22 10.10.07.16
17.08.07.26 05.10.13.09
25.06.13.48 07.11.05.48
11.06.20.33 17.08.16.38
01.05.22.57 08.10.07.22
09.12.07.26 20.12.20.19
24.07.04.37 22.10.08.45
26.06.03.17 27.12.08.16
28.03.09.45 03.04.07.12
08.09.23.21 17.11.17.18
08.12.01.24 13.12.09.35
12.10.01.47 12.10.01.52
29.11.02.29 30.11.07.05
19.09.06.48 04.10.08.55
25.06.13.38 28.08.02.18
01.09.06.06 26.10.07.42
26.03.05.20 16.08.15.56
29.03.20.18 15.11.17.00
17.10.08.50 26.12.15.36
26.11.19.03 23.12.02.32
03.01.05.01 24.11.15.56
06.04.22.09 23.07.08.59
04.09.00.09 14.11.23.09
17.06.00.28 03.07.13.12
16.04.11.25 13.07.16.45
28.07.00.02 16.10.08.56
17.11.22.37 27.12.16.25
17.09.01.45 26.11.04.59
16.01.09.21 07.02.00.53
05.04.03.21 15.09.10.48
09.09.17.00 19.12.04.55
01.11.12.10 09.12.21.24
17.08.21.23 07.11.11.07
11.06.07.53 10.07.08.04
03.03.03.01 18.03.07.40
12.01.01.35 13.09.15.00
21.04.03.42 20.10.20.07
19.12.05.31 26.12.03.03
05.01.20.36 23.02.19.15
07.11.22.54 21.12.19.09
28.09.05.50 11.12.23.42
01.05.03.05 23.05.16.31
06.02.19.30 23.05.03.51
14.04.13.13 06.06.08.03
25.07.03.44 21.12.10.51
09.12.17.10 25.12.02.36
26.04.09.41 05.06.03.37
10.11.07.35 26.11.08.21
14.03.00.05 21.09.23.36
28.07.03.32 27.11.22.20
18.07.06.47 22.11.02.57
20.02.22.58 15.12.06.05
05.02.14.44 12.12.06.57
16.01.15.02 07.06.21.55
15.11.22.06 25.12.04.30
01.02.03.14 03.10.10.08
14.11.01.14 28.12.12.49
02.11.17.02 04.12.18.16
10.01.19.47 29.01.04.20
18.06.06.00 12.12.22.22
01.08.23.41 30.08.22.02
20.05.00.59 05.09.05.36
05.09.09.51 08.09.22.07
16.01.23.11 23.10.14.00
07.11.22.50 27.12.11.09
14.07.15.01 20.10.12.02
02.03.05.00 10.05.09.36
28.12.07.14 28.12.10.44
04.07.06.08 13.10.16.01
29.04.01.59 27.11.15.51
14.01.14.54 22.10.20.01
05.04.00.16 17.12.01.06
05.10.18.01 07.11.14.21
25.08.00.23 03.12.12.50
17.07.10.27 09.10.19.04
08.12.22.48 25.12.04.49
26.06.17.58 17.10.02.22
21.07.04.54 22.11.19.46
20.08.12.57 22.12.06.42
10.10.09.09 13.10.04.51
15.07.22.25 17.07.05.52
03.06.06.59 19.08.22.07
15.10.10.58 23.10.02.14
25.12.01.20 25.12.15.33
14.05.18.32 27.09.04.20
20.01.07.21 27.10.10.20
23.02.18.00 03.05.19.08
05.07.03.00 02.12.19.53
29.03.07.53 28.05.11.17
18.08.19.14 29.09.01.39
01.09.13.24 29.10.06.27
26.08.10.29 21.10.06.03
01.11.07.40 07.12.03.59
05.04.20.34 25.06.19.56
18.06.09.20 10.12.16.44
19.12.17.37 22.12.21.39
06.04.05.15 10.10.15.06
20.01.07.00 29.05.22.41
22.11.20.08 26.12.08.52
22.12.11.21 30.12.09.41
01.05.13.33 24.08.10.09
26.06.09.08 10.07.09.53
14.05.23.50 20.12.12.46
06.04.16.44 22.05.18.28
16.07.19.51 04.11.11.11
05.08.21.32 20.11.01.44
29.07.09.14 03.09.19.06
28.07.20.47 09.08.03.06
28.10.20.00 17.12.23.02
30.05.10.27 21.12.00.46
18.11.13.48 20.12.05.40
02.04.00.46 10.04.00.37
06.11.04.21 11.12.12.19
23.03.12.15 24.04.03.38
13.01.14.02 23.06.13.36
24.12.14.30 27.12.23.00
09.08.23.39 08.10.01.45
23.01.13.53 29.09.09.29
25.07.02.13 05.08.16.09
18.11.05.27 10.12.16.33
04.07.15.05 17.10.07.32
18.08.12.59 11.09.18.20
30.03.08.00 22.07.01.00
30.08.00.56 24.09.05.48
05.12.12.24 29.12.22.52
04.07.22.22 15.09.08.29
17.01.00.45 11.09.14.55
22.08.12.49 29.08.23.44
06.06.02.53 19.10.23.28
19.10.14.51 01.11.01.40
07.10.11.51 13.11.04.33
14.03.09.47 13.08.01.22
02.03.01.26 12.04.11.21
06.12.19.01 27.12.00.15
23.09.22.15 24.10.21.25
24.12.16.10 26.12.13.15
03.11.01.57 20.12.09.07
13.02.05.07 11.08.17.47
14.03.04.34 05.05.09.40
30.05.03.19 18.10.11.02
25.02.00.07 21.12.01.53
11.11.01.03 18.11.12.12
25.03.09.58 11.07.00.47
23.10.13.36 26.10.05.12
06.07.23.58 26.10.10.16
22.02.04.20 01.04.17.42
17.05.15.19 08.06.14.31
19.07.23.51 24.07.19.15
01.10.22.14 18.12.21.26
16.09.02.22 21.12.19.03
08.08.19.53 16.08.10.58
30.06.19.31 19.12.11.41
03.06.12.12 26.09.14.24
13.09.22.37 01.11.14.33
14.04.19.58 25.09.02.58
30.05.08.31 08.08.12.44
14.11.06.11 19.12.17.33
28.03.09.00 14.06.10.15
13.09.00.42 26.11.16.16
24.12.09.06 24.12.21.16
19.01.02.28 25.11.20.56
11.12.14.15 26.12.04.20
06.11.17.50 27.11.08.59
26.12.23.05 30.12.10.41
16.03.02.42 18.12.02.44
02.02.08.22 23.04.11.38
02.11.18.46 14.11.15.20
28.02.11.43 20.04.04.54
12.05.04.49 02.11.01.55
16.08.07.09 22.11.18.16
11.11.16.01 24.11.11.55
03.02.13.28 08.07.20.41
24.01.14.58 05.08.10.37
06.07.22.39 13.08.05.36
15.10.11.11 19.11.08.41
20.02.13.57 23.02.20.41
03.01.20.58 22.04.21.08
26.09.10.04 05.11.21.30
16.06.10.19 05.11.21.29
20.11.19.59 05.12.13.40
13.10.06.30 08.11.00.58
22.09.00.47 25.10.13.28
26.12.23.00 30.12.10.57
02.12.05.18 12.12.23.27
28.10.16.48 06.12.11.24
10.08.10.16 23.11.14.48
30.03.13.58 05.11.05.57
22.08.18.50 25.12.11.10
29.02.09.35 01.12.08.35
29.01.23.55 25.10.08.46
15.07.09.09 05.11.17.35
18.06.02.52 14.10.11.15
10.01.01.01 23.09.14.39
26.04.22.03 01.05.06.44
03.12.05.20 30.12.02.13
24.03.08.33 04.10.18.15
14.04.14.49 01.11.03.14
08.02.03.27 27.08.09.43
19.10.08.38 23.10.00.09
15.01.03.23 23.01.11.13
25.05.19.01 16.07.03.28
24.01.07.59 27.12.23.45
23.09.22.50 08.12.12.15
26.06.07.39 17.07.10.58
30.02.05.31 15.04.03.33
25.12.07.27 28.12.19.27
24.01.07.35 22.08.02.10
17.07.11.43 28.12.18.09
28.02.22.07 20.09.07.37
26.03.17.09 01.04.11.18
10.03.09.39 11.12.07.11
29.11.06.03 28.12.09.42
27.10.08.08 27.10.23.31
11.01.05.11 30.12.07.56
15.07.13.43 12.08.18.05
23.10.00.55 07.11.23.34
06.09.00.50 08.11.22.04
19.06.18.14 27.12.06.46
13.03.15.37 07.12.07.10
28.12.01.14 30.12.12.47
02.05.00.32 10.11.03.20
21.10.08.24 23.10.06.47
23.07.20.44 13.11.13.21
06.11.23.14 09.11.20.11
16.03.03.15 06.10.04.48
18.09.12.06 15.10.16.34
27.10.23.49 21.11.00.37
17.10.02.40 13.11.02.48
02.08.06.07 29.10.03.48
07.01.07.52 25.12.14.39
15.02.22.12 29.04.10.13
05.03.06.44 03.08.02.26
05.08.22.19 26.08.05.19
16.09.06.16 19.12.19.13
25.12.22.38 27.12.21.06
17.02.12.05 14.10.02.38
07.03.07.03 02.12.14.29
21.11.18.13 25.12.09.16
30.11.12.02 20.12.02.20
01.10.21.33 18.11.00.13
04.09.05.11 10.11.01.23
09.10.00.12 11.11.07.28
03.05.13.13 29.06.21.04
03.03.02.58 03.05.17.15
17.08.21.59 05.11.02.16
03.08.17.37 22.10.23.52
29.01.23.26 21.12.18.25
09.12.07.00 19.12.02.05
26.04.13.52 03.05.07.52
11.12.07.04 19.12.19.45
21.10.21.25 23.10.12.08
09.07.01.17 10.07.23.47
13.09.18.40 04.10.21.14
15.03.04.20 20.05.09.29
30.07.05.30 11.10.21.16
21.04.15.14 05.10.03.45
19.04.23.24 10.12.16.41
21.11.22.22 29.12.22.35
30.06.22.27 25.12.11.00
20.12.02.51 27.12.05.48
17.04.16.28 08.11.19.50
13.02.22.44 09.09.15.05
14.06.00.25 02.12.15.26
29.08.17.57 08.10.12.27
28.09.01.35 09.10.19.41
24.05.05.32 13.09.07.19
18.09.07.00 21.10.07.51
14.05.17.48 08.08.09.44
23.01.06.53 11.02.07.40
23.05.08.55 29.06.13.44
22.01.12.38 01.05.05.38
27.09.21.55 27.11.11.29
18.10.09.52 07.12.16.13
22.08.17.10 23.11.13.56
24.06.17.44 05.11.02.19
18.09.10.58 23.10.18.44
10.05.20.18 04.09.11.24
16.02.12.19 22.12.09.38
20.07.19.38 18.09.15.51
15.04.15.25 17.07.09.58
13.02.11.49 15.12.03.45
19.06.09.26 24.12.01.41
04.08.13.42 15.08.18.55
06.08.18.27 04.10.19.02
15.09.16.50 11.10.09.06
04.03.22.32 04.04.13.33
28.12.21.59 29.12.14.29
11.11.01.08 29.12.10.59
11.05.23.26 12.11.18.48
13.05.16.14 05.11.20.28
09.05.23.49 28.06.21.30
25.05.20.16 07.12.01.36
15.01.16.34 12.08.05.35
18.05.18.20 07.09.08.12
21.01.12.28 15.06.13.49
06.01.10.58 09.08.17.47
03.10.10.26 30.11.09.17
26.08.04.41 25.09.12.44
03.07.05.49 28.08.23.08
15.09.04.35 01.11.13.13
21.03.06.04 13.07.13.21
21.10.15.18 07.12.09.34
03.10.23.34 12.10.07.18
24.02.20.49 20.04.07.37
30.09.19.58 12.10.13.18
15.04.23.18 21.06.07.27
06.12.21.53 27.12.18.18
09.07.13.14 30.12.12.15
02.12.09.04 04.12.22.04
04.09.05.30 06.10.06.46
17.11.04.14 09.12.22.53
06.03.04.57 05.07.22.32
06.10.16.48 06.12.10.48
17.07.05.17 09.08.10.34
13.12.21.34 21.12.22.30
25.08.22.40 30.11.19.24
10.10.23.22 24.12.04.49
16.09.08.28 03.10.19.36
15.06.06.24 07.11.23.41
20.04.23.15 09.05.13.08
01.08.21.05 25.10.04.11
16.01.12.34 30.07.22.25
03.03.02.23 30.03.13.16
14.10.23.06 16.11.16.21
03.03.22.53 29.03.23.09
02.10.18.46 11.10.06.31
19.01.07.50 19.11.19.22
04.12.06.30 05.12.09.30
06.11.00.32 24.12.04.47
01.04.23.41 02.04.09.01
28.09.06.41 03.11.16.39
28.02.10.16 27.07.22.25
30.02.00.48 19.04.23.20
22.02.05.03 05.05.23.20
22.12.18.49 28.12.15.40
05.03.16.43 20.09.02.06
19.12.14.13 27.12.02.58
20.10.01.06 25.12.21.34
03.07.06.07 10.10.04.35
14.12.13.23 23.12.22.48
14.01.20.55 30.10.17.15
25.05.06.22 20.09.23.45
12.09.05.26 05.11.21.05
03.08.20.12 21.08.20.11
12.09.03.33 11.11.18.39
05.04.12.08 09.08.02.32
28.01.09.13 26.07.03.07
24.10.21.46 29.12.15.47
02.06.21.43 24.09.03.47
10.03.04.08 02.05.21.13
22.03.15.20 05.08.01.02
18.04.15.26 13.12.03.30
05.05.10.16 05.07.22.08
05.07.20.59 07.10.01.56
18.06.19.49 05.08.00.28
04.04.09.04 01.06.10.44
12.05.03.12 28.06.11.27
02.01.10.11 06.12.11.46
09.05.07.07 26.08.10.16
21.11.17.55 22.11.17.38
23.07.09.09 06.08.13.28
12.12.05.26 21.12.05.49
02.11.23.27 02.12.09.46
18.01.20.32 11.12.16.47
13.10.19.41 30.11.12.26
06.09.10.50 10.09.02.25
27.04.00.06 16.05.13.27
05.06.23.30 13.07.17.53
23.02.11.29 16.05.22.09
18.12.16.11 30.12.05.59
20.08.08.04 07.10.04.12
01.10.04.08 07.10.12.26
13.03.05.21 28.12.21.01
01.02.14.57 18.11.07.53
18.03.19.37 07.05.21.55
03.12.09.14 13.12.03.44
05.10.02.00 04.11.19.24
20.03.12.32 03.12.19.41
30.10.12.59 27.11.07.19
26.11.05.10 07.12.09.34
28.11.19.53 24.12.03.28
07.03.03.10 30.06.17.51
22.04.18.02 10.09.01.54
11.10.15.29 17.11.07.26
29.09.16.08 16.12.07.15
18.05.02.48 29.12.23.30
20.11.12.16 14.12.02.45
29.06.02.39 21.08.04.38
27.01.10.33 19.12.17.43
21.05.07.34 07.11.16.54
05.04.09.35 29.08.00.17
22.04.21.24 09.07.10.02
29.08.12.09 26.12.06.06
09.01.06.31 01.12.19.29
21.07.11.07 23.07.07.19
22.03.04.15 19.09.17.25
13.04.16.17 26.11.05.09
22.09.02.35 29.11.22.46
17.10.00.48 28.11.14.35
24.09.13.32 29.09.12.51
19.11.01.06 17.12.18.40
16.08.14.20 29.11.01.59
01.01.15.38 06.05.12.50
07.09.15.44 09.09.14.06
17.01.15.08 18.09.14.03
01.03.16.34 01.09.14.17
21.02.11.47 10.11.07.55
10.07.13.51 03.11.16.03
10.01.06.30 22.01.18.39
19.12.00.48 21.12.10.22
17.07.11.52 24.07.08.12
26.09.01.31 14.10.18.25
03.08.22.23 21.12.04.37
04.03.00.43 17.09.14.53
07.06.04.24 27.07.21.19
27.09.05.36 12.11.03.12
14.03.05.22 23.03.09.28
26.04.06.51 26.04.07.09
12.08.22.31 26.11.19.27
28.06.08.21 30.10.20.16
23.05.02.58 11.08.13.07
07.02.19.05 11.10.18.06
08.03.09.03 24.09.04.27
25.03.11.43 05.10.05.59
13.12.06.27 20.12.10.17
22.11.05.59 04.12.13.15
22.05.07.02 10.09.18.58
04.12.22.37 20.12.10.11
20.07.00.28 01.10.03.13
23.06.02.22 23.11.20.15
26.09.09.33 21.12.09.47
18.04.12.51 29.07.14.55
06.07.09.24 06.09.11.33
07.04.02.32 23.07.12.32
10.05.12.44 10.07.05.13
07.04.12.40 14.06.19.12
05.09.02.19 25.10.02.09
02.05.02.22 28.08.00.51
20.09.17.31 18.10.18.26
20.02.19.24 23.05.16.52
11.06.05.46 04.07.21.56
01.08.00.38 20.08.09.24
30.11.18.50 14.12.04.05
12.09.20.54 02.10.06.47
21.03.04.06 26.11.17.05
30.08.11.13 24.09.00.36
10.08.02.33 10.10.11.43
16.08.04.55 18.10.17.57
07.03.09.28 25.05.05.28
22.08.21.51 15.09.07.45
04.01.12.13 02.09.12.36
09.03.09.16 04.10.15.41
17.02.21.07 14.05.13.35
22.08.08.31 18.12.13.25
24.03.06.53 02.07.22.53
03.06.04.21 21.10.06.22
18.12.08.14 19.12.05.24
02.05.18.03 25.05.15.12
04.08.00.58 26.11.12.17
03.10.18.25 26.10.08.27
28.08.02.18 13.10.06.13
25.12.17.42 28.12.18.14
04.08.10.06 27.10.11.21
26.06.12.22 06.11.01.09
27.08.19.56 22.12.08.18
09.03.12.19 14.10.04.55
28.07.02.16 27.08.03.59
20.11.13.44 10.12.23.19
26.08.04.30 13.09.20.37
15.09.10.02 11.11.02.18
21.08.08.26 25.10.20.13
10.06.13.03 16.12.08.38
23.08.19.51 29.10.13.11
29.01.00.37 29.02.15.37
29.10.02.45 26.12.18.54
21.07.14.54 05.10.11.43
22.03.03.11 21.05.19.33
10.06.14.00 25.07.01.28
29.03.21.37 17.04.16.46
21.07.13.22 02.12.15.52
22.10.15.42 21.11.15.32
01.09.18.21 25.10.02.38
16.09.00.28 20.09.22.50
09.10.04.43 29.10.15.35
29.08.13.40 17.12.19.23
29.06.17.01 07.09.02.04
17.09.02.37 27.11.10.30
10.03.12.06 03.08.10.01
09.02.07.28 30.12.20.58
07.03.05.35 09.03.18.39
29.04.12.35 30.04.00.06
04.04.23.09 20.09.20.00
08.10.21.58 15.10.12.20
04.10.21.13 26.11.08.52
12.06.17.32 25.06.21.58
23.02.04.09 02.09.18.29
29.06.10.12 05.07.17.11
21.04.11.02 28.04.16.45
25.06.00.50 10.11.17.05
08.08.23.26 04.11.05.29
12.11.02.57 10.12.06.34
25.03.01.49 26.10.22.13
07.04.21.43 03.09.16.46
10.12.15.09 20.12.18.54
14.01.03.01 18.06.10.14
12.04.19.03 10.08.01.57
11.10.04.22 14.10.01.33
20.05.14.28 17.12.11.50
01.11.21.32 09.11.01.32
13.04.20.39 07.10.01.32
20.10.12.19 28.10.10.42
28.04.08.02 15.06.23.32
28.11.15.44 11.12.00.55
06.10.13.41 17.12.04.24
28.06.15.51 03.09.04.57
16.08.15.45 12.11.21.47
26.02.15.43 14.08.08.22
30.02.16.12 09.10.22.08
02.12.12.30 28.12.22.18
05.06.17.19 26.12.18.48
09.05.00.03 20.07.17.58
04.02.07.17 28.10.05.59
01.02.03.56 08.08.05.29
30.12.19.08 30.12.19.14
02.08.08.11 19.12.07.22
08.03.11.43 25.10.14.06
08.01.17.12 13.12.23.27
22.11.13.20 21.12.13.23
25.12.20.21 28.12.17.41
12.02.08.13 30.04.21.19
28.11.07.48 29.12.06.50
01.10.15.21 09.11.09.49
05.10.09.32 25.12.12.12
11.04.09.54 16.05.14.52
13.11.06.42 11.12.10.21
21.09.14.53 29.12.08.24
21.06.08.00 08.07.11.35
17.11.19.56 24.12.21.07
30.01.05.58 03.07.01.16
03.11.15.31 11.11.04.02
25.08.12.11 12.10.13.05
15.05.04.31 16.12.05.42
08.05.20.21 20.11.20.10
18.10.22.00 26.10.16.03
14.12.18.56 19.12.04.28
12.12.19.11 14.12.07.49
21.10.16.55 05.12.20.29
16.10.00.14 26.12.18.36
18.03.02.00 15.06.10.35
13.08.09.54 24.12.17.32
10.11.11.24 03.12.19.24
18.06.05.27 25.08.18.08
02.11.15.04 20.11.07.50
07.12.01.31 11.12.00.06
07.02.19.50 06.05.01.28
18.04.02.28 25.11.18.37
28.04.09.32 06.11.00.20
06.12.20.38 29.12.03.54
12.06.19.11 22.10.13.41
11.03.17.05 08.11.22.21
11.12.23.57 30.12.19.21
29.02.12.19 22.06.19.03
12.01.05.14 08.02.00.47
17.12.13.10 25.12.01.05
09.02.23.53 02.11.10.30
23.05.11.06 26.08.21.19
16.07.09.17 21.10.04.19
19.09.01.22 26.12.11.00
20.09.14.03 26.11.16.19
03.09.08.22 17.11.13.13
20.12.00.38 22.12.04.44
04.11.08.28 18.12.03.14
09.11.05.23 04.12.20.21
28.06.09.11 24.07.00.11
22.04.21.25 27.07.15.50
03.02.03.37 07.06.19.28
01.07.14.17 14.11.18.21
29.08.00.47 08.10.05.37
08.03.09.18 12.03.07.41
11.07.18.35 30.08.03.28
11.09.17.40 23.10.16.47
22.10.20.00 17.11.13.20
07.01.14.34 30.12.16.02
10.04.08.48 12.12.23.24
26.08.10.14 15.11.21.48
14.07.05.54 22.10.15.12
22.10.12.00 24.12.02.27
17.09.15.26 10.10.08.28
19.04.17.55 28.07.17.14
28.09.17.00 27.11.23.31
26.02.14.43 13.11.14.46
30.06.18.39 04.08.14.13
25.09.09.13 12.10.19.13
26.11.09.20 23.12.19.17
15.09.00.39 19.11.17.40
02.09.18.15 30.10.17.11
20.12.05.37 24.12.06.35
28.10.19.05 24.12.04.35
07.02.13.42 04.09.01.47
13.01.22.47 18.02.12.56
06.06.12.01 06.07.01.41
24.12.09.43 26.12.19.08
06.04.16.12 19.10.01.24
18.11.13.01 09.12.05.36
06.10.12.09 24.11.14.33
19.10.17.47 24.12.09.32
02.12.06.00 12.12.01.20
23.08.00.51 21.09.12.21
16.04.21.15 10.10.20.11
06.05.12.18 27.10.17.20
19.12.00.54 26.12.02.10
28.04.03.22 01.05.06.25
15.07.17.11 24.10.00.02
03.06.20.58 22.09.03.28
05.02.12.33 26.08.19.07
02.09.13.23 18.09.03.17
10.02.03.56 12.08.09.54
28.07.00.35 14.12.23.07
04.01.07.06 19.04.02.36
10.11.10.51 04.12.19.39
15.10.17.35 15.11.12.44
02.03.04.06 26.10.18.05
27.10.09.18 06.11.20.29
07.01.07.07 06.02.21.53
08.09.04.19 09.12.16.36
23.07.16.13 29.07.04.48
20.02.13.05 18.04.22.23
26.07.05.47 28.08.12.50
24.01.00.29 21.04.01.51
29.01.00.09 11.10.19.11
11.06.06.15 10.12.19.19
04.08.01.18 15.11.07.51
23.04.00.13 06.06.03.47
14.10.15.37 11.11.17.55
29.05.12.06 15.06.09.38
25.11.09.54 03.12.13.17
21.03.06.11 27.09.03.43
04.01.01.34 05.04.19.30
11.12.08.37 16.12.11.47
02.09.23.09 04.09.09.52
22.11.03.11 28.11.19.41
22.04.14.56 09.09.06.32
20.09.16.18 21.11.20.47
10.11.12.52 18.12.11.31
22.02.22.16 23.06.07.44
29.11.21.20 13.12.11.03
02.06.14.36 27.06.21.41
23.03.09.08 29.05.18.03
26.03.15.05 25.07.18.30
18.10.08.15 12.12.03.06
21.06.16.43 20.10.20.19
22.02.10.52 26.11.23.00
01.12.11.39 12.12.05.30
17.09.19.11 04.11.16.53
04.06.11.28 01.07.06.08
11.12.03.43 16.12.16.57
11.02.04.50 19.07.19.05
09.06.08.51 02.08.00.06
24.05.16.33 25.07.10.52
14.08.19.16 02.11.13.04
24.04.09.45 18.09.17.05
03.06.03.02 28.09.14.56
15.05.04.32 28.11.17.49
13.08.14.13 26.09.17.55
29.07.11.26 17.08.05.04
05.11.13.07 02.12.05.47
11.06.06.44 10.09.05.48
27.03.23.42 28.11.15.03
20.02.03.43 27.09.16.27
05.02.11.05 17.05.19.56
16.12.18.11 26.12.10.28
30.08.01.49 28.10.14.32
18.09.19.00 25.11.03.15
03.03.07.35 23.08.14.00
03.06.23.58 16.11.02.02
21.05.19.55 29.06.22.25
09.10.04.10 09.12.00.29
23.04.19.53 27.07.10.36
02.03.14.44 26.11.09.05
04.05.19.17 21.05.12.51
06.10.14.47 12.10.23.58
13.02.12.12 12.10.16.47
29.07.17.35 14.12.00.57
06.02.20.40 07.02.22.26
12.05.21.40 17.09.06.15
06.01.17.12 26.08.13.58
12.05.18.05 21.09.06.32
16.01.04.14 21.10.06.10
08.01.16.57 24.07.04.20
06.06.15.10 27.08.11.21
21.10.11.40 22.11.19.12
08.09.12.51 03.11.09.14
11.09.22.59 09.10.05.48
25.12.05.52 29.12.14.21
06.09.02.06 03.11.18.12
13.04.02.56 09.06.00.28
05.05.03.03 01.12.21.31
25.05.16.40 28.11.02.12
29.04.09.27 03.06.09.43
02.01.22.38 25.11.18.13
17.12.18.10 21.12.15.26
19.08.20.36 03.12.01.49
25.04.20.50 30.10.23.48
21.06.17.40 12.10.09.28
09.06.09.36 29.11.11.27
15.07.04.23 10.08.08.02
13.08.06.29 01.09.10.47
14.06.14.34 14.09.13.38
16.05.14.47 23.08.09.10
07.04.11.19 09.07.22.58
20.09.17.40 21.09.23.35
